法規名稱,維護單位,法規分類,最後修訂(民國),最後修訂(西元),存放路徑,原始檔名,來源網址,別名,狀態
輔英科技大學四技進修部單獨招生規定,教務處,教務法規(#B),110.9.13,2021-09-13,01_行政單位/03_教務處/輔英科技大學四技進修部單獨招生規定_law02113.pdf,law02113.pdf,https://ese.fy.edu.tw/var/file/57/1057/img/125/law02113.pdf,,已存在
輔英科技大學離島地區國中應屆畢業生升學五專保送甄選招生規定,教務處,教務法規(#B),110.10.5,2021-10-05,01_行政單位/03_教務處/輔英科技大學離島地區國中應屆畢業生升學五專保送甄選招生規定_law02115.pdf,law02115.pdf,https://ese.fy.edu.tw/var/file/57/1057/img/125/law02115.pdf,,已存在
輔英科技大學五專免試續招入學招生規定,教務處,教務法規(#B),110.10.7,2021-10-07,01_行政單位/03_教務處/輔英科技大學五專免試續招入學招生規定_law02116.pdf,law02116.pdf,https://ese.fy.edu.tw/var/file/57/1057/img/125/law02116.pdf,,已存在
輔英科技大學大學部暨附設專科部轉學招生規定,教務處,教務法規(#B),110.9.28,2021-09-28,01_行政單位/03_教務處/輔英科技大學大學部暨附設專科部轉學招生規定_law02117.pdf,law02117.pdf,https://ese.fy.edu.tw/var/file/57/1057/img/125/law02117.pdf,,已存在
輔英科技大學重點運動項目績優學生單獨招生規定,教務處,教務法規(#B),110.12.8,2021-12-08,01_行政單位/03_教務處/輔英科技大學重點運動項目績優學生單獨招生規定_law02119.pdf,law02119.pdf,https://ese.fy.edu.tw/var/file/57/1057/img/125/law02119.pdf,,已存在
輔英科技大學教學品質保證實施要點,教務處,教務法規(#B),104.5.18,2015-05-18,01_行政單位/03_教務處/輔英科技大學教學品質保證實施要點_law02063.pdf,law02063.pdf,https://ese.fy.edu.tw/var/file/57/1057/img/125/law02063.pdf,,已存在
輔英科技大學教學評量實施要點,教務處,教務法規(#B),112.10.12,2023-10-12,01_行政單位/03_教務處/輔英科技大學教學評量實施要點_law03001.pdf,law03001.pdf,https://ese.fy.edu.tw/var/file/57/1057/img/125/law03001.pdf,,已存在
輔英科技大學教師研習經費補助要點,教務處,教務法規(#B),113.7.9,2024-07-09,01_行政單位/03_教務處/輔英科技大學教師研習經費補助要點_law03002.pdf,law03002.pdf,https://ese.fy.edu.tw/var/file/57/1057/img/125/law03002.pdf,,已存在
輔英科技大學學術活動經費補助要點,教務處,教務法規(#B),114.7.15,2025-07-15,01_行政單位/03_教務處/輔英科技大學學術活動經費補助要點_law03003.pdf,law03003.pdf,https://ese.fy.edu.tw/var/file/57/1057/img/125/law03003.pdf,,已存在
輔英科技大學獎勵教師取得專業證照要點,教務處,教務法規(#B),115.3.27,2026-03-27,01_行政單位/03_教務處/輔英科技大學獎勵教師取得專業證照要點_law03008.pdf,law03008.pdf,https://ese.fy.edu.tw/var/file/57/1057/img/125/law03008.pdf,,已存在
輔英科技大學教師創新教學研究計畫補助要點(原：輔英科技大學改進教學專題研究計畫補助要點),教務處,教務法規(#B),112.10.25,2023-10-25,01_行政單位/03_教務處/輔英科技大學教師創新教學研究計畫補助要點(原：輔英科技大學改進教學專題研究計畫補助要點)_law03009.pdf,law03009.pdf,https://ese.fy.edu.tw/var/file/57/1057/img/125/law03009.pdf,,已存在
輔英科技大學教學評量管理委員會設置要點,教務處,教務法規(#B),112.10.12,2023-10-12,01_行政單位/03_教務處/輔英科技大學教學評量管理委員會設置要點_law03015.pdf,law03015.pdf,https://ese.fy.edu.tw/var/file/57/1057/img/125/law03015.pdf,,已存在
輔英科技大學提升教師教學績效輔導要點,教務處,教務法規(#B),111.11.24,2022-11-24,01_行政單位/03_教務處/輔英科技大學提升教師教學績效輔導要點_law03016.pdf,law03016.pdf,https://ese.fy.edu.tw/var/file/57/1057/img/125/law03016.pdf,,已存在
輔英科技大學教學諮詢小組設置要點,教務處,教務法規(#B),110.3.11,2021-03-11,01_行政單位/03_教務處/輔英科技大學教學諮詢小組設置要點_law03017.pdf,law03017.pdf,https://ese.fy.edu.tw/var/file/57/1057/img/125/law03017.pdf,,已存在
輔英科技大學教師專業成長社群實施要點,教務處,教務法規(#B),112.10.25,2023-10-25,01_行政單位/03_教務處/輔英科技大學教師專業成長社群實施要點_law03021.pdf,law03021.pdf,https://ese.fy.edu.tw/var/file/57/1057/img/125/law03021.pdf,,已存在
輔英科技大學數位學習教材獎助要點(原：輔輔英科技大學數位學習教材獎勵要點),教務處,教務法規(#B),115.1.7,2026-01-07,01_行政單位/03_教務處/輔英科技大學數位學習教材獎助要點(原：輔輔英科技大學數位學習教材獎勵要點)_law03023.pdf,law03023.pdf,https://ese.fy.edu.tw/var/file/57/1057/img/125/law03023.pdf,,已存在
輔英科技大學磨課師課程實施要點,教務處,教務法規(#B),113.4.3,2024-04-03,01_行政單位/03_教務處/輔英科技大學磨課師課程實施要點_law03025.pdf,law03025.pdf,https://ese.fy.edu.tw/var/file/57/1057/img/125/law03025.pdf,,已存在
